branch_index,lam,a_known,finf,n_crossings,crossings,bounded_range_lo,bounded_range_hi
0,0.200000,-0.105282,1.299510,1,"[(-0.120000000000001, -0.08999999999999986)]",-0.17999999999999972,9.420000000000002
4,0.115659,-0.059485,1.179055,1,"[(-0.060000000000002274, -0.030000000000001137)]",-0.120000000000001,9.479999999999997
9,-0.069537,0.033775,0.883167,1,"[(0.029999999999997584, 0.05999999999999872)]",-0.030000000000001137,9.629999999999995
13,-0.227289,0.104233,0.585420,1,"[(0.08999999999999986, 0.11999999999999744)]",0.05999999999999872,9.719999999999999
18,-0.389528,0.166414,0.213751,1,"[(0.14999999999999858, 0.17999999999999972)]",0.11999999999999744,9.839999999999996
22,-0.488234,0.198156,-0.060247,1,"[(0.17999999999999972, 0.2099999999999973)]",0.14999999999999858,9.899999999999999
